Date,Price,Open,High,Low,Vol.,Change %
11-Dec-16,770.20,772.90,773.70,761.80,4.14K,-0.35%
10-Dec-16,772.90,770.50,777.80,770.00,3.36K,0.31%
9-Dec-16,770.50,765.00,772.70,765.00,3.65K,0.72%
8-Dec-16,765.00,765.00,773.20,762.70,4.75K,0.00%
7-Dec-16,765.00,757.20,772.20,749.10,10.69K,1.01%
6-Dec-16,757.40,750.60,758.50,750.40,5.28K,0.90%
5-Dec-16,750.60,768.50,769.00,744.60,10.07K,-2.33%
4-Dec-16,768.50,765.50,770.00,760.90,4.20K,0.42%
3-Dec-16,765.30,774.90,774.90,756.00,5.73K,-1.24%
2-Dec-16,774.90,755.40,779.20,755.20,13.41K,2.59%
1-Dec-16,755.40,739.00,756.00,738.80,13.40K,2.21%
30-Nov-16,739.00,731.00,743.10,729.10,5.53K,1.09%
29-Nov-16,731.00,731.50,733.90,728.70,5.65K,-0.06%
28-Nov-16,731.50,724.90,735.00,724.90,4.14K,0.90%
27-Nov-16,725.00,731.20,736.20,722.50,3.49K,-0.85%
26-Nov-16,731.20,740.40,741.00,720.00,4.49K,-1.24%
25-Nov-16,740.40,737.70,741.10,730.00,4.06K,0.36%
24-Nov-16,737.70,742.00,744.30,727.60,6.07K,-0.58%
23-Nov-16,742.00,749.80,750.90,730.80,5.58K,-1.07%
22-Nov-16,750.00,739.00,753.90,733.30,9.48K,1.50%
21-Nov-16,739.00,729.70,740.60,728.10,7.20K,1.28%
20-Nov-16,729.70,752.90,757.00,712.00,13.91K,-3.09%
19-Nov-16,752.90,754.00,760.00,740.00,6.04K,-0.14%
18-Nov-16,754.00,740.70,756.90,734.50,6.96K,1.80%
17-Nov-16,740.70,745.00,762.40,735.00,14.89K,-0.58%
16-Nov-16,745.00,712.20,747.50,710.10,17.95K,4.61%
15-Nov-16,712.20,707.40,720.00,707.40,7.94K,0.67%
14-Nov-16,707.40,708.10,709.00,699.00,6.01K,-0.09%
13-Nov-16,708.10,703.40,708.10,687.60,8.61K,0.61%
12-Nov-16,703.80,714.80,717.00,700.10,6.19K,-1.54%
11-Nov-16,714.80,714.90,719.40,712.00,4.58K,-0.01%
10-Nov-16,714.90,724.40,725.00,709.10,4.35K,-1.24%
9-Nov-16,723.80,714.00,743.10,708.50,15.73K,1.38%
8-Nov-16,714.00,704.80,718.00,703.00,9.07K,0.87%
7-Nov-16,707.80,712.70,712.70,700.00,3.66K,-0.73%
6-Nov-16,713.00,709.20,721.60,700.00,6.93K,0.65%
5-Nov-16,708.40,706.80,713.90,700.80,5.93K,0.00%
4-Nov-16,708.40,696.90,710.90,687.00,13.97K,2.66%
3-Nov-16,690.10,747.20,753.70,676.00,26.99K,-6.48%
2-Nov-16,737.90,731.40,740.00,723.60,8.39K,0.51%
1-Nov-16,734.20,704.10,746.50,701.40,22.23K,4.27%
31-Oct-16,704.10,702.50,706.00,688.00,10.56K,0.22%
30-Oct-16,702.50,714.50,716.60,697.80,12.20K,-1.67%
29-Oct-16,714.50,693.50,724.00,692.30,15.28K,3.03%
28-Oct-16,693.50,688.70,695.00,681.60,10.10K,0.70%
27-Oct-16,688.70,678.70,690.60,676.70,12.93K,1.47%
26-Oct-16,678.70,659.50,685.60,658.50,11.69K,2.91%
25-Oct-16,659.50,654.70,670.00,652.70,5.52K,0.74%
24-Oct-16,654.70,659.00,659.00,654.00,5.70K,-0.66%
23-Oct-16,659.00,665.00,671.40,656.00,5.73K,-0.90%
22-Oct-16,665.00,636.70,671.00,635.10,10.09K,4.44%
21-Oct-16,636.70,632.50,639.00,632.00,7.22K,0.68%
20-Oct-16,632.50,631.80,633.60,628.00,3.34K,0.11%
19-Oct-16,631.80,638.70,643.90,627.80,8.99K,-1.10%
18-Oct-16,638.80,639.80,641.70,632.90,6.09K,-0.15%
17-Oct-16,639.80,644.20,644.60,637.80,5.02K,-0.68%
16-Oct-16,644.20,640.20,645.80,639.80,2.39K,0.62%
15-Oct-16,640.20,643.00,645.70,637.90,2.40K,-0.44%
14-Oct-16,643.00,637.00,645.40,636.70,6.64K,0.94%
13-Oct-16,637.00,637.60,643.70,636.40,5.01K,-0.10%
12-Oct-16,637.60,641.90,644.10,637.30,3.85K,-0.64%
11-Oct-16,641.70,618.90,646.00,618.10,12.53K,3.70%
10-Oct-16,618.90,616.60,620.00,615.90,3.09K,0.37%
9-Oct-16,616.60,620.50,620.90,614.40,2.74K,-0.63%
8-Oct-16,620.50,620.10,622.90,617.90,3.11K,0.06%
7-Oct-16,620.10,613.50,621.20,613.00,4.85K,1.08%
6-Oct-16,613.50,614.10,615.90,612.70,3.08K,-0.09%
5-Oct-16,614.10,610.70,617.30,610.00,3.41K,0.51%
4-Oct-16,611.00,612.70,614.00,609.60,4.01K,-0.26%
3-Oct-16,612.60,609.10,613.20,608.90,3.28K,0.57%
2-Oct-16,609.10,614.10,614.20,607.00,4.97K,-0.81%
1-Oct-16,614.10,611.10,616.90,611.10,1.90K,0.49%
30-Sep-16,611.10,604.60,612.90,604.30,2.36K,1.08%
29-Sep-16,604.60,603.80,607.80,603.20,3.14K,0.14%
28-Sep-16,603.80,605.50,605.80,603.10,2.05K,-0.29%
27-Sep-16,605.50,609.10,609.90,602.00,3.20K,-0.59%
26-Sep-16,609.10,600.40,610.00,599.90,3.11K,1.46%
25-Sep-16,600.40,602.50,603.60,597.60,1.39K,-0.36%
24-Sep-16,602.50,603.30,605.80,601.50,0.94K,-0.12%
23-Sep-16,603.30,597.10,604.00,596.00,1.96K,1.04%
22-Sep-16,597.10,597.40,598.70,596.00,2.33K,-0.06%
21-Sep-16,597.40,600.10,600.10,592.70,7.66K,-0.44%
20-Sep-16,600.00,609.80,612.00,600.00,3.37K,-1.60%
19-Sep-16,609.80,613.00,615.00,608.90,2.96K,-0.53%
18-Sep-16,613.00,607.70,615.90,607.40,2.93K,0.88%
17-Sep-16,607.70,610.00,610.60,605.00,3.57K,-0.38%
16-Sep-16,610.00,611.80,614.20,609.50,3.70K,-0.29%
15-Sep-16,611.80,613.90,617.30,611.00,4.38K,-0.34%
